legislation_id,title,document_type,proposed_domain,proposed_subdomain,classification_confidence,classification_reasons,scope_status,pdf_match_status,local_pdf,text_layer_status,ocr_required,official_gazette_date,official_gazette_number,source_url,human_domain,human_subdomain,validity_status,approved_for_active_rag,reviewed_by,review_notes
55206,TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜ'NÜN 2013/130 SAYILI UYGULAMA TALİMATI,Talimat / Talimatname / İç Emir,maritime,maritime,0.9,maritime: 'tersane' (+7),out_of_scope,matched,Ulaştırma ve Altyapı Bakanlığı/Ulaştırma ve Altyapı Bakanlığı/Talimat Talimatname İç Emir/55206_TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜ'NÜN 2013130 SAYILI UYGULA.pdf,available,False,0001-01-01T00:00:00,,https://kms.kaysis.gov.tr/Home/Goster/55206,,,needs_verification,false,,
55207,TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN 2013/123 SAYILI UYGULAMA TALİMATI,Talimat / Talimatname / İç Emir,maritime,maritime,0.9,maritime: 'tersane' (+7),out_of_scope,matched,Ulaştırma ve Altyapı Bakanlığı/Ulaştırma ve Altyapı Bakanlığı/Talimat Talimatname İç Emir/55207_TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN 2013123 SAYILI UYGULAM.pdf,available,False,0001-01-01T00:00:00,,https://kms.kaysis.gov.tr/Home/Goster/55207,,,needs_verification,false,,
55208,TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN 2013/121 SAYILI MAKİNE DAİRESİ YAĞ/YAKIT SİSTEMLERİ KONULU UYGULAMA TALİMATI,Talimat / Talimatname / İç Emir,maritime,maritime,0.9,maritime: 'tersane' (+7),out_of_scope,matched,Ulaştırma ve Altyapı Bakanlığı/Ulaştırma ve Altyapı Bakanlığı/Talimat Talimatname İç Emir/55208_TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN 2013121 SAYILI MAKİNE.pdf,available,False,0001-01-01T00:00:00,,https://kms.kaysis.gov.tr/Home/Goster/55208,,,needs_verification,false,,
55209,TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN 2013/233 SAYILI MAKİNE MAHALLİ VE KARGO POMPA DAİRESİ İÇİN SU BAZLI SABİT YANGIN SÖNDÜRME SİSTEMLERİ KONULU UYGULAMA TALİMATI,Talimat / Talimatname / İç Emir,maritime,maritime,0.9,maritime: 'tersane' (+7),out_of_scope,matched,Ulaştırma ve Altyapı Bakanlığı/Ulaştırma ve Altyapı Bakanlığı/Talimat Talimatname İç Emir/55209_TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN 2013233 SAYILI MAKİNE.pdf,available,False,0001-01-01T00:00:00,,https://kms.kaysis.gov.tr/Home/Goster/55209,,,needs_verification,false,,
55210,TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN 2013/182 SAYILI MAKİNE VE KARGO POMPA DAİRELERİ YANGINLARINI ÖNLEME TEDBİRLERİ KONULU UYGULAMA TALİMATI,Talimat / Talimatname / İç Emir,maritime,maritime,0.9,maritime: 'tersane' (+7),out_of_scope,matched,Ulaştırma ve Altyapı Bakanlığı/Ulaştırma ve Altyapı Bakanlığı/Talimat Talimatname İç Emir/55210_TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN 2013182 SAYILI MAKİNE.pdf,available,False,0001-01-01T00:00:00,,https://kms.kaysis.gov.tr/Home/Goster/55210,,,needs_verification,false,,
55212,TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN 2013/159 SAYILI MAKİNE VE KARGO POMPA DAİRELERİNDEKİ EŞDEĞER SU BAZLI YANGIN SÖNDÜRME SİSTEMLERİ KONULU UYGULAMA TALİMATI,Talimat / Talimatname / İç Emir,maritime,maritime,0.9,maritime: 'tersane' (+7),out_of_scope,matched,Ulaştırma ve Altyapı Bakanlığı/Ulaştırma ve Altyapı Bakanlığı/Talimat Talimatname İç Emir/55212_TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN 2013159 SAYILI MAKİNE.pdf,available,False,0001-01-01T00:00:00,,https://kms.kaysis.gov.tr/Home/Goster/55212,,,needs_verification,false,,
55214,TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN 2013/196 SAYILI MARPOL SÖZLEŞMESİNDE İDARENİN TAKDİRİNE BIRAKILAN HUSUSLAR KONULU UYGULAMA TALİMATI,Talimat / Talimatname / İç Emir,maritime,maritime,0.98,maritime: 'marpol' (+7) | maritime: 'tersane' (+7),out_of_scope,matched,Ulaştırma ve Altyapı Bakanlığı/Ulaştırma ve Altyapı Bakanlığı/Talimat Talimatname İç Emir/55214_TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN 2013196 SAYILI MARPOL.pdf,available,False,0001-01-01T00:00:00,,https://kms.kaysis.gov.tr/Home/Goster/55214,,,needs_verification,false,,
55217,TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN 2014/264 SAYILI MODU KODU KONULU UYGULAMA TALİMATI,Talimat / Talimatname / İç Emir,maritime,maritime,0.9,maritime: 'tersane' (+7),out_of_scope,matched,Ulaştırma ve Altyapı Bakanlığı/Ulaştırma ve Altyapı Bakanlığı/Talimat Talimatname İç Emir/55217_TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN 2014264 SAYILI MODU KO.pdf,available,False,0001-01-01T00:00:00,,https://kms.kaysis.gov.tr/Home/Goster/55217,,,needs_verification,false,,
55219,TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN 2013/218 SAYILI MODULARIN DEMİRLEME SİSTEMLERİ KONULU UYGULAMA TALİMATI,Talimat / Talimatname / İç Emir,maritime,maritime,0.9,maritime: 'tersane' (+7),out_of_scope,matched,Ulaştırma ve Altyapı Bakanlığı/Ulaştırma ve Altyapı Bakanlığı/Talimat Talimatname İç Emir/55219_TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜNÜN 2013218 SAYILI MODULA.pdf,available,False,0001-01-01T00:00:00,,https://kms.kaysis.gov.tr/Home/Goster/55219,,,needs_verification,false,,
55220,"ULAŞTIRMA, DENİZCİLİK VE HABERLEŞME BAKANLIĞI DENİZ TİCARETİ GENEL MÜDÜRLÜĞÜ YEŞİL LİMAN/EKO LİMAN PROJESİ SEKTÖREL KRİTERLER DÖKÜMANI",Doküman / Yardımcı Yayın,maritime,maritime,0.98,maritime: 'deniz ticareti' (+8) | maritime: 'denizcilik' (+8) | maritime: 'denizci' (+7) | maritime: 'liman' (+6),out_of_scope,matched,"Ulaştırma ve Altyapı Bakanlığı/Ulaştırma ve Altyapı Bakanlığı/Doküman Yardımcı Yayın/55220_ULAŞTIRMA, DENİZCİLİK VE HABERLEŞME BAKANLIĞI DENİZ TİCARETİ GENEL MÜ.pdf",available,False,0001-01-01T00:00:00,,https://kms.kaysis.gov.tr/Home/Goster/55220,,,needs_verification,false,,
