mevzuatId,turId,sayi,ad,rgSayi,rgTarih,tur,detail_url,local_archive
42073,20,,DENİZ TİCARETİ İSTATİSTİKLERİNİ DÜZENLEME YÖNETMELİĞİ,28574                                             ,2013-03-01T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/42073,
95425,20,,DENİZ VE İÇSULAR TARAMA YÖNETMELİĞİ,29796                                             ,2016-08-09T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/95425,
39525,20,,DENİZCİLERE MAHSUS KIYAFET YÖNETMELİĞİ,27507                                             ,2010-02-28T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/39525,
37208,20,,DENİZCİLİK EĞİTİMİ DENETLEME VE KALİTE STANDARTLARI ESASLARI HAKKINDA YÖNETMELİK,26079                                             ,2006-02-13T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/37208,
42551,20,,DENİZCİLİK KOORDİNASYON KOMİSYONU YÖNETMELİĞİ,28726                                             ,2013-08-02T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/42551,
69860,20,,DENİZYOLUYLA TAŞINAN TEHLİKELİ YÜKLERE İLİŞKİN ULUSLARARASI KOD KAPSAMINDA EĞİTİM VE YETKİLENDİRME YÖNETMELİĞİ,29601                                             ,2016-01-22T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/69860,
72103,20,,DEVLET HAVA MEYDANLARI İŞLETMESİ GENEL MÜDÜRLÜĞÜNÜN PARASAL YETKİLERİ İLE 4734 SAYILI KAMU İHALE KANUNUNUN 3 ÜNCÜ MADDESİNİN (G) BENDİ KAPSAMINDA YAPACAĞI MAL VE HİZMET ALIMLARINDA UYGULANACAK USUL VE ESASLAR HAKKINDA İHALE YÖNETMELİĞİ,29623                                             ,2016-02-13T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/72103,
37147,20,,DÖKME YÜK GEMİLERİNİN GÜVENLİ BİR ŞEKİLDE YÜKLENMESİ VE BOŞALTILMASI HAKKINDA YÖNETMELİK,26040                                             ,2005-12-31T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/37147,
75657,20,,E-DEVLET HİZMETLERİNİN YÜRÜTÜLMESİNE İLİŞKİN USUL VE ESASLAR HAKKINDA YÖNETMELİK,29820                                             ,2016-09-03T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/75657,
175795,20,,ELEKTRİKLİ SKUTER YÖNETMELİĞİ,31454                                             ,2021-04-14T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/175795,
139706,20,,ELEKTRONİK HABERLEŞME İSTASYONLARINA YER SEÇİM BELGESİNİN VERİLMESİ VE ÜCRETLERİNİN BELİRLENMESİNE İLİŞKİN YÖNETMELİK,30314                                             ,2018-01-27T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/139706,
150741,20,,"ERİŞİLEBİLİR ULAŞIM HİZMETLERİ ÇALIŞMA GRUBUNUN TEŞKİLİ, GÖREVLERİ, ÇALIŞMA USUL VE ESASLARI HAKKINDA YÖNETMELİK",30730                                             ,2019-03-30T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/150741,
37537,20,,EVRENSEL HİZMET GELİRLERİNİN TAHSİLİ VE GİDERLERİN YAPILMASINA İLİŞKİN USUL VE ESASLAR HAKKINDA YÖNETMELİK,26213                                             ,2006-06-29T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/37537,
72517,20,,EVRENSEL POSTA HİZMETLERİ YÖNETMELİĞİ,29639                                             ,2016-02-29T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/72517,
41038,20,,GEMİ ACENTELERİ YÖNETMELİĞİ,28224                                             ,2012-03-05T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/41038,
35638,20,,"GEMİ ADAMLARININ İKAMET YERLERİ, SAĞLIK VE İAŞELERİNE DAİR YÖNETMELİK",20378                                             ,1989-12-20T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/35638,
153088,20,,GEMİ BOYA YÖNETMELİĞİ,30844                                             ,2019-07-27T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/153088,
35430,20,,GEMİ SÖKÜM YÖNETMELİĞİ,25396                                             ,2004-03-08T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/35430,
37045,20,,GEMİ TEÇHİZATI YÖNETMELİĞİ,25975                                             ,2005-10-23T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/37045,
37906,20,,GEMİ TRAFİK HİZMETLERİ SİSTEMLERİNİN KURULMASINA VE İŞLETİLMESİNE İLİŞKİN YÖNETMELİK,26438                                             ,2007-02-18T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/37906,
